day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,15,15,0,0,0,0,0,false,false,false,false,false,false,false,false
3,15,15,0,0,0,0,0,false,false,false,false,false,false,false,false
4,17,17,0,0,0,0,0,false,false,false,false,false,false,false,false
5,17,17,0,0,0,0,0,false,false,false,false,false,false,false,false
6,26,26,0,0,0,0,0,false,false,false,false,false,false,false,false
7,28,28,0,0,0,1,1,false,false,false,false,false,false,false,false
8,33,33,0,0,0,9,8,false,false,false,false,false,false,false,false
9,38,38,0,0,0,9,8,false,false,false,false,false,false,false,false
10,46,46,0,0,0,9,8,false,false,false,false,false,false,false,false
11,49,49,0,0,0,9,8,false,false,false,false,false,false,false,false
12,50,50,0,0,0,10,9,false,false,false,false,false,false,false,false
13,56,56,0,0,0,10,9,false,false,false,false,false,false,false,false
14,64,64,0,0,0,12,10,false,false,false,false,false,false,false,false
15,78,78,0,0,0,16,12,false,false,false,false,false,false,false,false
16,88,88,0,0,0,16,12,false,false,false,false,false,false,false,false
17,118,118,0,0,0,16,12,false,false,false,false,false,false,false,false
18,150,150,0,0,0,16,12,false,false,false,false,false,false,false,false
19,174,174,0,0,0,18,13,false,false,false,false,false,false,false,false
20,198,198,0,0,0,22,15,false,false,false,false,false,false,false,false
21,235,235,0,0,0,24,16,false,false,false,false,false,false,false,false
22,272,271,0,1,0,28,19,false,false,false,false,false,false,false,false
23,326,312,1,13,0,45,33,false,false,false,false,false,false,false,false
24,373,359,1,13,0,58,42,false,false,false,false,false,false,false,false
25,430,414,1,15,0,66,49,false,false,false,false,false,false,false,false
26,486,470,1,15,0,73,56,false,false,false,false,true,false,false,false
27,546,521,1,24,0,87,69,false,false,false,false,true,false,false,false
28,643,616,1,26,0,101,80,false,false,false,false,true,false,false,false
29,710,678,1,31,0,122,99,false,false,false,false,true,false,false,false
30,778,741,2,35,0,136,113,false,false,false,false,true,false,false,false
31,869,824,2,43,0,155,131,false,false,false,false,true,false,false,false
32,940,892,2,46,0,176,148,false,false,false,false,true,false,false,false
33,1038,989,2,47,0,198,163,false,false,false,false,true,false,false,false
34,1192,1137,2,53,0,231,191,false,false,false,false,true,false,false,false
35,1356,1293,2,61,0,259,215,false,false,false,false,true,false,false,false
36,1602,1525,2,75,0,286,236,false,false,false,false,true,false,false,false
37,1845,1758,3,84,0,323,269,false,false,false,false,true,false,false,false
38,2188,2071,4,113,0,352,293,false,false,false,false,true,false,false,false
39,2541,2392,4,145,0,395,331,false,false,false,false,true,false,false,false
40,2847,2674,7,166,0,462,380,false,false,false,false,true,false,false,false
41,3148,2951,8,189,0,530,429,false,false,false,false,false,false,false,false
42,3422,3188,8,226,0,637,511,false,false,false,false,false,false,false,false
43,3654,3383,11,260,0,724,583,false,false,false,false,false,false,false,false
44,3842,3517,15,310,0,867,703,false,false,false,false,false,false,false,false
45,4016,3644,17,355,0,1009,820,false,false,false,false,false,false,false,false
46,4157,3728,21,408,0,1135,920,false,false,false,false,false,false,false,false
47,4293,3808,24,461,0,1255,1022,false,false,false,false,false,false,false,false
48,4451,3906,24,521,0,1376,1121,false,false,false,false,false,false,false,false
49,4572,3930,28,614,0,1469,1195,false,false,false,false,false,false,false,false
50,4659,3950,29,680,0,1545,1254,false,false,false,false,false,false,false,false
51,4739,3962,32,745,0,1610,1301,false,false,false,false,false,false,false,false
52,4799,3931,37,831,0,1673,1353,false,false,false,false,false,false,false,false
53,4839,3900,38,901,0,1733,1404,false,false,false,false,false,false,false,false
54,4880,3843,43,994,0,1784,1442,false,false,false,false,false,false,false,false
55,4905,3714,51,1140,0,1839,1488,false,false,false,false,false,false,false,false
56,4929,3574,59,1296,0,1876,1518,false,false,false,false,false,false,false,false
57,4958,3357,71,1530,0,1906,1540,false,false,false,false,false,false,false,false
58,4971,3127,78,1766,0,1935,1561,false,false,false,false,false,false,false,false
59,4987,2800,89,2098,0,1948,1572,false,false,false,false,false,false,false,false
60,4996,2456,101,2439,0,1968,1587,false,false,false,false,false,false,false,false
61,5001,2155,115,2731,0,1977,1594,false,false,false,false,false,false,false,false
62,5006,1859,123,3024,0,1985,1602,false,false,false,false,true,false,false,false
63,5016,1595,133,3288,0,1996,1611,false,false,false,false,true,false,false,false
64,5021,1368,144,3509,0,2003,1616,false,false,false,false,true,false,false,false
65,5028,1187,152,3689,0,2006,1619,false,false,false,false,true,false,false,false
66,5033,1018,154,3861,0,2010,1621,false,false,false,false,true,false,false,false
67,5039,883,160,3996,0,2011,1621,false,false,false,false,true,false,false,false
68,5045,753,171,4121,0,2015,1625,false,false,false,false,true,false,false,false
69,5046,596,177,4273,0,2019,1628,false,false,false,false,true,false,false,false
70,5049,478,181,4390,0,2021,1630,false,false,false,false,true,false,false,false
71,5051,393,187,4471,0,2024,1632,false,false,false,false,true,false,false,false
72,5055,317,189,4549,0,2025,1633,false,false,false,false,true,false,false,false
73,5059,261,193,4605,0,2030,1636,false,false,false,false,true,false,false,false
74,5059,221,193,4645,0,2033,1639,false,false,false,false,true,false,false,false
75,5060,181,196,4683,0,2033,1639,false,false,false,false,true,false,false,false
76,5060,156,199,4705,0,2036,1640,false,false,false,false,true,false,false,false
77,5063,135,199,4729,0,2036,1640,false,false,false,false,true,false,false,false
78,5063,106,200,4757,0,2037,1640,false,false,false,false,true,false,false,false
79,5064,94,201,4769,0,2039,1642,false,false,false,false,true,false,false,false
80,5064,78,201,4785,0,2039,1642,false,false,false,false,true,false,false,false
81,5064,69,201,4794,0,2040,1643,false,false,false,false,true,false,false,false
82,5064,64,201,4799,0,2040,1643,false,false,false,false,true,false,false,false
83,5066,61,201,4804,0,2042,1644,false,false,false,false,false,false,false,false
84,5066,51,201,4814,0,2042,1644,false,false,false,false,false,false,false,false
85,5066,46,201,4819,0,2042,1644,false,false,false,false,false,false,false,false
86,5067,40,201,4826,0,2042,1644,false,false,false,false,false,false,false,false
87,5068,36,201,4831,0,2042,1644,false,false,false,false,false,false,false,false
88,5068,30,204,4834,0,2042,1644,false,false,false,false,false,false,false,false
89,5070,26,205,4839,0,2043,1645,false,false,false,false,false,false,false,false
90,5071,26,205,4840,0,2043,1645,false,false,false,false,false,false,false,false
