day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,3,3,0,0,0,0,0,false,false,false,false,false,false,false,false
3,4,4,0,0,0,0,0,false,false,false,false,false,false,false,false
4,5,5,0,0,0,0,0,false,false,false,false,false,false,false,false
5,12,12,0,0,0,0,0,false,false,false,false,false,false,false,false
6,17,17,0,0,0,0,0,false,false,false,false,false,false,false,false
7,29,29,0,0,0,0,0,false,false,false,false,false,true,false,false
8,32,32,0,0,0,0,0,false,false,false,false,false,true,false,false
9,32,32,0,0,0,0,0,false,false,false,false,false,true,true,false
10,34,34,0,0,0,0,0,false,false,false,false,false,true,true,false
11,41,41,0,0,22,117,22,false,false,false,false,false,true,true,false
12,44,44,0,0,22,117,22,false,false,false,false,false,true,true,false
13,48,48,0,0,29,162,29,false,false,false,false,false,true,true,false
14,52,52,0,0,29,162,29,false,false,false,false,false,true,true,false
15,88,88,0,0,29,162,29,false,false,false,false,false,true,true,false
16,133,133,0,0,29,162,29,false,false,false,false,false,true,true,false
17,238,238,0,0,151,739,169,false,false,false,false,false,true,true,false
18,325,325,0,0,151,739,169,false,false,false,false,false,true,true,false
19,369,369,0,0,167,838,186,false,false,false,false,false,true,true,false
20,401,401,0,0,167,838,186,false,false,false,false,false,true,true,false
21,436,436,0,0,186,956,210,false,false,false,false,false,true,true,false
22,489,488,0,1,198,988,222,false,false,false,false,false,true,true,false
23,525,524,0,1,352,1605,467,false,false,false,false,false,true,true,false
24,563,562,0,1,386,1756,507,false,false,false,false,false,true,true,false
25,597,596,0,1,419,1907,554,false,false,false,false,false,true,true,false
26,621,613,1,7,430,1961,566,false,false,false,false,false,true,true,false
27,660,647,1,12,460,2052,596,false,false,false,false,false,true,true,false
28,711,686,1,24,499,2250,659,false,false,false,false,false,true,true,false
29,772,744,1,27,591,2780,838,false,false,false,false,false,true,true,false
30,821,793,1,27,604,2868,879,false,false,false,false,false,true,true,false
31,874,844,1,29,632,3042,962,false,false,false,false,false,true,true,false
32,923,886,1,36,613,3043,962,false,false,false,false,false,true,true,false
33,1011,971,1,39,644,3239,1028,false,false,false,false,false,true,true,false
34,1073,1029,1,43,729,3713,1177,false,false,false,false,false,true,true,false
35,1122,1074,1,47,808,4088,1313,false,false,false,false,false,true,true,false
36,1180,1096,2,82,882,4492,1448,false,false,false,false,false,true,true,false
37,1238,1109,4,125,936,4803,1586,false,false,false,false,false,true,true,false
38,1283,1049,5,229,936,4897,1619,false,false,false,false,false,true,true,false
39,1306,985,9,312,856,5146,1679,false,false,false,false,false,true,true,false
40,1350,985,13,352,871,5359,1737,false,false,false,false,false,true,true,false
41,1388,991,16,381,908,5676,1856,false,false,false,false,false,true,true,false
42,1432,1000,18,414,977,6103,2000,false,false,false,false,false,true,true,false
43,1460,975,20,465,1027,6653,2157,false,false,false,false,false,true,true,false
44,1490,969,20,501,895,6735,2166,false,false,false,false,false,true,true,false
45,1511,952,21,538,897,6929,2215,false,false,false,false,false,true,true,false
46,1530,937,24,569,903,7029,2237,false,false,false,false,false,true,true,false
47,1557,940,24,593,905,7261,2320,false,false,false,false,false,true,true,false
48,1578,922,27,629,909,7526,2404,false,false,false,false,false,true,true,false
49,1601,894,29,678,921,7818,2507,false,false,false,false,false,true,true,false
50,1645,877,31,737,833,7882,2520,false,false,false,false,false,true,true,false
51,1677,860,34,783,836,8077,2570,false,false,false,false,false,true,true,false
52,1697,827,38,832,836,8254,2616,false,false,false,false,false,true,true,false
53,1727,808,38,881,849,8458,2676,false,false,false,false,false,true,true,false
54,1749,742,43,964,883,8679,2757,false,false,false,false,false,true,true,false
55,1762,693,49,1020,840,8862,2800,false,false,false,false,false,true,true,false
56,1778,660,49,1069,803,9065,2842,false,false,false,false,false,true,true,false
57,1792,616,51,1125,726,9114,2850,false,false,false,false,false,true,true,false
58,1798,564,52,1182,672,9116,2851,false,false,false,false,false,true,true,false
59,1822,543,54,1225,657,9340,2908,false,false,false,false,false,true,true,false
60,1839,537,55,1247,646,9455,2943,false,false,false,false,false,true,true,false
61,1858,512,58,1288,624,9577,2977,false,false,false,false,false,true,true,false
62,1867,483,60,1324,592,9686,3014,false,false,false,false,false,true,true,false
63,1877,449,62,1366,552,9985,3075,false,false,false,false,false,true,true,false
64,1896,440,64,1392,512,10002,3076,false,false,false,false,false,true,true,false
65,1928,442,64,1422,472,10008,3077,false,false,false,false,false,true,true,false
66,1943,436,65,1442,459,10099,3092,false,false,false,false,false,true,true,false
67,1961,435,65,1461,436,10124,3100,false,false,false,false,false,true,true,false
68,1986,433,66,1487,418,10124,3100,false,false,false,false,false,true,true,false
69,2009,435,66,1508,443,10552,3210,false,false,false,false,false,true,true,false
70,2025,428,67,1530,414,10558,3211,false,false,false,false,false,true,true,false
71,2045,404,69,1572,429,10761,3260,false,false,false,false,false,true,true,false
72,2065,392,71,1602,417,10774,3262,false,false,false,false,false,true,true,false
73,2082,389,72,1621,408,10927,3287,false,false,false,false,false,true,true,false
74,2095,372,72,1651,374,10927,3287,false,false,false,false,false,true,true,false
