day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,14,14,0,0,0,0,0,false,false,false,false,false,false,false,false
3,15,15,0,0,0,0,0,false,false,false,false,false,false,false,false
4,18,18,0,0,0,0,0,false,false,false,false,false,false,false,false
5,19,19,0,0,0,0,0,false,false,false,false,false,false,false,true
6,34,34,0,0,0,0,0,false,false,false,false,false,false,false,true
7,36,36,0,0,0,0,0,false,false,false,false,false,false,false,true
8,38,38,0,0,0,6,6,false,false,false,false,false,false,false,true
9,45,45,0,0,0,6,6,false,false,false,false,false,false,false,true
10,77,77,0,0,0,9,8,false,false,false,false,false,false,false,true
11,103,103,0,0,0,10,9,false,false,false,false,false,false,false,true
12,127,127,0,0,0,18,16,false,false,false,false,false,false,false,true
13,142,142,0,0,0,20,18,false,false,false,false,false,false,false,true
14,150,150,0,0,0,21,19,false,false,false,false,false,false,false,true
15,162,162,0,0,0,25,21,false,false,false,false,false,false,false,true
16,168,168,0,0,0,44,38,false,false,false,false,false,false,false,true
17,179,179,0,0,0,55,46,false,false,false,false,false,false,false,true
18,199,199,0,0,0,62,53,false,false,false,false,false,false,false,true
19,220,220,0,0,0,73,62,false,false,false,false,false,false,false,true
20,239,239,0,0,0,75,64,false,false,false,false,false,false,false,true
21,266,266,0,0,0,79,68,false,false,false,false,false,false,false,true
22,283,282,0,1,0,84,72,false,false,false,false,false,false,false,true
23,303,290,0,13,0,86,74,false,false,false,false,false,false,false,true
24,326,312,0,14,0,94,81,false,false,false,false,false,false,false,true
25,340,323,0,17,0,99,85,false,false,false,false,false,false,false,true
26,367,349,0,18,0,107,92,false,false,false,false,false,false,false,true
27,391,358,1,32,0,110,95,false,false,false,false,false,false,false,true
28,428,393,1,34,0,116,100,false,false,false,false,false,false,false,true
29,454,417,1,36,0,124,106,false,false,false,false,false,false,false,true
30,476,432,1,43,0,135,116,false,false,false,false,false,false,false,true
