day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,3,3,0,0,0,0,0,false,false,false,false,false,false,false,false
3,4,4,0,0,0,0,0,false,false,false,false,false,false,false,false
4,5,5,0,0,0,0,0,false,false,false,false,false,false,false,false
5,15,15,0,0,0,0,0,false,false,false,false,false,false,false,false
6,21,21,0,0,0,0,0,false,false,false,false,false,false,false,false
7,34,34,0,0,0,0,0,false,false,false,false,false,false,false,false
8,37,37,0,0,0,0,0,false,false,false,false,false,false,false,false
9,37,37,0,0,0,0,0,false,false,false,false,false,false,false,false
10,41,41,0,0,0,0,0,false,false,false,false,false,false,false,false
11,42,42,0,0,0,3,3,false,false,false,false,false,false,false,false
12,57,57,0,0,0,5,5,false,false,false,false,false,false,false,false
13,66,66,0,0,0,13,10,false,false,false,false,false,false,false,false
14,69,69,0,0,0,13,10,false,false,false,false,false,false,false,false
15,76,76,0,0,0,13,10,false,false,false,false,false,false,false,false
16,82,82,0,0,0,14,11,false,false,false,false,false,false,false,false
17,86,86,0,0,0,14,11,false,false,false,false,false,false,false,false
18,99,99,0,0,0,18,13,false,false,false,false,false,false,false,false
19,111,111,0,0,0,21,15,false,false,false,false,false,false,false,false
20,144,144,0,0,0,21,15,false,false,false,false,false,false,false,false
21,180,180,0,0,0,24,17,false,false,true,false,false,false,false,false
22,224,223,0,1,0,25,17,false,false,true,true,false,false,false,false
23,228,227,0,1,0,27,18,false,false,true,true,false,false,false,false
24,228,227,0,1,0,31,22,false,false,true,true,false,false,false,false
25,228,227,0,1,0,40,29,false,false,true,true,false,false,false,false
26,228,217,0,11,0,51,38,false,false,true,true,false,false,false,false
27,228,211,0,17,0,66,49,false,false,true,true,false,false,false,false
28,228,198,2,28,0,79,61,false,false,true,true,false,false,false,false
29,228,195,2,31,0,81,63,false,false,true,true,false,false,false,false
30,228,195,2,31,0,81,63,false,false,true,true,false,false,false,false
31,228,191,2,35,0,81,63,false,false,true,true,false,false,false,false
32,228,190,2,36,0,81,63,false,false,true,true,false,false,false,false
33,228,175,2,51,0,81,63,false,false,true,true,false,false,false,false
34,228,166,2,60,0,81,63,false,false,true,true,false,false,false,false
35,228,163,2,63,0,81,63,false,false,true,true,false,false,false,false
36,228,156,2,70,0,81,63,false,false,true,true,false,false,false,false
37,228,150,3,75,0,81,63,false,false,true,true,false,false,false,false
38,228,146,4,78,0,81,63,false,false,true,true,false,false,false,false
39,228,133,4,91,0,81,63,false,false,true,true,false,false,false,false
40,228,121,4,103,0,81,63,false,false,false,true,false,false,false,false
41,233,93,6,134,0,81,63,false,false,false,true,false,false,false,false
42,277,101,9,167,0,81,63,false,false,false,true,false,false,false,false
43,311,91,12,208,0,81,63,false,false,false,true,false,false,false,false
44,312,88,13,211,0,81,63,false,false,false,true,false,false,false,false
45,312,88,13,211,0,81,63,false,false,false,true,false,false,false,false
46,312,88,13,211,0,81,63,false,false,false,true,false,false,false,false
47,312,88,13,211,0,83,65,false,false,false,true,false,false,false,false
48,312,88,13,211,0,102,82,false,false,false,true,false,false,false,false
49,312,88,13,211,0,116,90,false,false,false,true,false,false,false,false
50,312,88,13,211,0,117,91,false,false,false,true,false,false,false,false
51,312,88,13,211,0,117,91,false,false,false,true,false,false,false,false
52,312,88,13,211,0,117,91,false,false,false,true,false,false,false,false
53,313,89,13,211,0,117,91,false,false,false,true,false,false,false,false
54,313,89,13,211,0,117,91,false,false,false,true,false,false,false,false
55,313,89,13,211,0,117,91,false,false,false,true,false,false,false,false
56,315,91,13,211,0,117,91,false,false,false,true,false,false,false,false
57,315,91,13,211,0,117,91,false,false,false,true,false,false,false,false
58,315,91,13,211,0,117,91,false,false,false,true,false,false,false,false
59,315,91,13,211,0,118,91,false,false,false,true,false,false,false,false
60,315,91,13,211,0,118,91,false,false,false,true,false,false,false,false
61,319,95,13,211,0,118,91,false,false,false,true,false,false,false,false
62,319,90,15,214,0,119,92,false,false,false,true,false,false,false,false
63,319,46,19,254,0,119,92,false,false,false,true,false,false,false,false
64,319,12,20,287,0,119,92,false,false,false,true,false,false,false,false
65,319,11,20,288,0,119,92,false,false,false,true,false,false,false,false
66,319,11,20,288,0,119,92,false,false,false,true,false,false,false,false
67,319,11,20,288,0,119,92,false,false,false,true,false,false,false,false
68,319,11,20,288,0,119,92,false,false,false,true,false,false,false,false
69,319,11,20,288,0,119,92,false,false,false,true,false,false,false,false
70,319,11,20,288,0,119,92,false,false,false,true,false,false,false,false
71,319,11,20,288,0,119,92,false,false,false,true,false,false,false,false
72,319,11,20,288,0,119,92,false,false,false,true,false,false,false,false
73,319,11,20,288,0,119,92,false,false,false,true,false,false,false,false
74,319,10,20,289,0,119,92,false,false,false,true,false,false,false,false
75,319,10,20,289,0,119,92,false,false,false,true,false,false,false,false
76,319,10,20,289,0,119,92,false,false,false,true,false,false,false,false
77,319,8,20,291,0,119,92,false,false,false,true,false,false,false,false
78,319,8,20,291,0,119,92,false,false,false,true,false,false,false,false
79,319,8,20,291,0,119,92,false,false,false,true,false,false,false,false
