day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,9,9,0,0,0,0,0,false,false,false,false,false,false,false,false
3,9,9,0,0,0,0,0,false,false,false,false,false,false,false,false
4,9,9,0,0,0,0,0,false,false,false,false,false,false,false,false
5,9,9,0,0,0,0,0,false,false,false,false,false,false,false,false
6,15,15,0,0,0,0,0,false,false,false,false,false,false,false,false
7,21,21,0,0,0,0,0,false,false,false,false,false,false,false,false
8,25,25,0,0,0,2,1,false,false,false,false,false,false,false,false
9,30,30,0,0,0,2,1,false,false,false,false,false,false,false,false
10,36,36,0,0,0,2,1,false,false,false,false,false,false,false,false
11,43,43,0,0,0,2,1,false,false,false,false,false,false,false,false
12,58,58,0,0,0,4,2,false,false,false,false,false,false,false,false
13,69,69,0,0,0,6,4,false,false,false,false,false,false,false,false
14,80,80,0,0,0,7,4,false,false,false,false,false,false,false,false
15,88,88,0,0,0,9,6,false,false,false,false,false,false,false,false
16,144,144,0,0,0,13,10,false,false,false,false,false,false,false,false
17,220,220,0,0,0,17,14,false,false,false,false,false,false,false,false
18,301,301,0,0,0,23,19,false,false,false,false,false,false,false,false
19,385,385,0,0,0,26,21,false,false,false,false,false,false,false,false
20,447,447,0,0,0,33,26,false,false,false,false,false,false,false,false
21,489,489,0,0,0,38,30,false,false,false,false,false,false,false,false
22,554,553,0,1,0,64,53,false,false,false,false,false,false,false,false
23,634,626,0,8,0,89,71,false,false,false,false,false,false,false,false
24,748,740,0,8,0,120,94,false,false,false,false,false,false,false,false
25,863,855,0,8,0,156,121,false,false,false,false,false,false,false,false
26,963,955,0,8,0,184,142,false,false,false,false,false,false,false,false
27,1071,1057,0,14,0,202,157,false,false,false,false,false,false,false,false
28,1174,1154,0,20,0,232,178,false,false,false,false,false,false,false,false
29,1302,1278,0,24,0,262,202,false,false,false,false,false,false,false,false
30,1440,1411,0,29,0,304,239,false,false,false,false,false,false,false,false
31,1556,1521,1,34,0,352,276,false,false,false,false,false,false,false,false
32,1690,1648,2,40,0,396,312,false,false,false,false,false,false,false,false
33,1828,1771,2,55,0,444,352,false,false,false,false,false,false,false,false
34,1933,1865,3,65,0,481,380,false,false,false,false,false,false,false,false
35,2040,1961,3,76,0,530,417,false,false,false,false,false,false,false,false
36,2177,2090,4,83,0,583,461,false,false,false,false,false,false,false,false
37,2293,2150,7,136,0,632,503,false,false,false,false,false,false,false,false
38,2407,2188,11,208,0,692,553,false,false,false,false,false,false,false,false
39,2540,2240,18,282,0,749,593,false,false,false,false,false,false,false,false
40,2669,2285,19,365,0,786,621,false,false,false,false,false,false,false,false
41,2774,2328,19,427,0,839,667,false,false,false,false,false,false,false,false
42,2939,2451,19,469,0,890,709,false,false,false,false,false,false,false,false
43,3049,2496,22,531,0,934,745,false,false,false,false,false,false,false,false
44,3146,2513,25,608,0,982,780,false,false,false,false,false,false,false,false
45,3237,2490,28,719,0,1035,826,false,false,false,false,false,false,false,false
46,3295,2433,31,831,0,1096,872,false,false,false,false,false,false,false,false
47,3361,2399,35,927,0,1126,897,false,false,false,false,false,false,false,false
48,3427,2357,44,1026,0,1189,946,false,false,false,false,false,false,false,false
49,3505,2332,49,1124,0,1241,987,false,false,false,false,false,false,false,false
50,3597,2296,55,1246,0,1285,1026,false,false,false,false,false,false,false,false
51,3670,2231,60,1379,0,1319,1054,false,false,false,false,false,false,false,false
52,3735,2180,67,1488,0,1339,1071,false,false,false,false,false,false,false,false
53,3799,2110,76,1613,0,1364,1093,false,false,false,false,false,false,false,false
54,3861,2034,85,1742,0,1390,1113,false,false,false,false,false,false,false,false
55,3921,1989,86,1846,0,1416,1130,false,false,false,false,false,false,false,false
56,4010,1971,95,1944,0,1452,1161,false,false,false,false,false,false,false,false
57,4076,1900,104,2072,0,1482,1185,false,false,false,false,false,false,false,false
58,4135,1843,107,2185,0,1510,1210,false,false,false,false,false,false,false,false
59,4194,1788,112,2294,0,1531,1228,false,false,false,false,false,false,false,false
60,4255,1716,115,2424,0,1560,1253,false,false,false,false,false,false,false,false
61,4311,1643,122,2546,0,1588,1271,false,false,false,false,false,false,false,false
62,4362,1589,127,2646,0,1628,1300,false,false,false,false,false,false,false,false
63,4420,1482,131,2807,0,1651,1318,false,false,false,false,false,false,false,false
64,4482,1434,132,2916,0,1676,1339,false,false,false,false,false,false,false,false
65,4543,1398,134,3011,0,1696,1356,false,false,false,false,false,false,false,false
66,4628,1392,136,3100,0,1714,1369,false,false,false,false,false,false,false,false
67,4687,1393,138,3156,0,1740,1391,false,false,false,false,false,false,false,false
68,4752,1392,142,3218,0,1758,1405,false,false,false,false,false,false,false,false
69,4804,1378,147,3279,0,1785,1423,false,false,false,false,false,false,false,false
70,4847,1343,150,3354,0,1811,1445,false,false,false,false,false,false,false,false
71,4866,1270,153,3443,0,1835,1465,false,false,false,false,false,false,false,false
72,4902,1233,156,3513,0,1880,1505,false,false,false,false,false,false,false,false
73,4941,1207,159,3575,0,1900,1521,false,false,false,false,false,false,false,false
74,4968,1170,160,3638,0,1919,1537,false,false,false,false,false,false,false,false
75,4987,1127,161,3699,0,1944,1556,false,false,false,false,false,false,false,false
76,5006,1086,166,3754,0,1959,1568,false,false,false,false,false,false,false,false
77,5017,1008,171,3838,0,1963,1572,false,false,false,false,false,false,false,false
78,5033,958,173,3902,0,1977,1582,false,false,false,false,false,false,false,false
79,5041,907,177,3957,0,1994,1594,false,false,false,false,false,false,false,false
80,5050,857,179,4014,0,2001,1601,false,false,false,false,false,false,false,false
81,5073,819,181,4073,0,2009,1608,false,false,false,false,false,false,false,false
82,5084,774,183,4127,0,2012,1611,false,false,false,false,false,false,false,false
83,5086,725,183,4178,0,2015,1614,false,false,false,false,false,false,false,false
84,5097,678,185,4234,0,2022,1617,false,false,false,false,false,false,false,false
85,5103,622,188,4293,0,2028,1623,false,false,false,false,false,false,false,false
86,5105,563,193,4349,0,2029,1624,false,false,false,false,false,false,false,false
87,5106,479,199,4428,0,2039,1633,false,false,false,false,false,false,false,false
88,5106,420,199,4487,0,2044,1637,false,false,false,false,false,false,false,false
89,5107,356,201,4550,0,2046,1639,false,false,false,false,false,false,false,false
90,5107,304,203,4600,0,2051,1644,false,false,false,false,false,false,false,false
91,5109,263,204,4642,0,2053,1645,false,false,false,false,false,false,false,false
92,5112,247,205,4660,0,2054,1646,false,false,false,false,false,false,false,false
93,5113,212,207,4694,0,2054,1646,false,false,false,false,false,false,false,false
94,5113,173,210,4730,0,2054,1646,false,false,false,false,false,false,false,false
95,5113,146,211,4756,0,2054,1646,false,false,false,false,false,false,false,false
96,5114,128,211,4775,0,2054,1646,false,false,false,false,false,false,false,false
97,5114,109,211,4794,0,2054,1646,false,false,false,false,false,false,false,false
98,5114,98,212,4804,0,2057,1647,false,false,false,false,false,false,false,false
