day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,10,10,0,0,0,0,0,false,false,false,false,false,false,false,false
2,67,67,0,0,0,0,0,false,false,false,false,false,false,false,false
3,78,78,0,0,0,0,0,false,false,false,false,false,false,false,false
4,80,80,0,0,0,0,0,false,false,false,false,false,false,false,false
5,83,83,0,0,0,0,0,false,false,false,false,false,false,false,false
6,110,110,0,0,0,0,0,false,false,false,false,false,false,false,false
7,150,150,0,0,0,3,3,false,false,false,false,false,false,false,false
8,205,205,0,0,0,30,27,false,false,false,false,false,false,false,false
9,232,232,0,0,0,34,31,false,false,false,false,false,false,false,false
10,259,259,0,0,0,35,32,false,false,false,false,false,false,false,false
11,299,299,0,0,0,35,32,false,false,false,false,false,false,false,false
12,348,348,0,0,0,43,39,false,false,false,false,false,false,false,false
13,380,380,0,0,0,59,53,false,false,false,false,false,false,false,false
14,412,412,0,0,0,87,70,false,false,false,false,false,false,false,false
15,435,435,0,0,0,96,78,false,false,false,false,false,false,false,false
16,473,473,0,0,0,106,86,false,false,false,false,false,false,false,false
17,513,513,0,0,0,121,98,false,false,false,false,false,false,false,false
18,569,569,0,0,0,143,117,false,false,false,false,false,false,false,false
19,607,607,0,0,0,154,124,false,false,false,false,false,false,false,false
20,652,652,0,0,0,165,134,false,false,false,false,false,false,false,false
21,682,682,0,0,0,175,143,false,false,false,false,false,false,false,false
22,731,726,0,5,0,189,155,false,false,false,false,false,false,false,false
23,799,737,2,60,0,205,166,false,false,false,false,false,false,false,false
24,880,807,2,71,0,226,185,false,false,false,false,false,false,false,false
25,945,870,2,73,0,245,200,false,false,false,false,false,false,false,false
26,1016,938,2,76,0,261,216,false,false,false,false,false,false,false,false
27,1091,986,2,103,0,272,225,false,false,false,false,false,false,false,false
28,1179,1034,6,139,0,293,242,false,false,false,false,false,false,false,false
29,1252,1052,8,192,0,325,268,false,false,false,false,false,false,false,false
30,1311,1084,8,219,0,365,303,false,false,false,false,false,false,false,false
