day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,4,4,0,0,0,0,0,false,false,false,false,false,false,false,false
3,5,5,0,0,0,0,0,false,false,false,false,false,false,false,false
4,6,6,0,0,0,0,0,false,false,false,false,false,false,false,false
5,6,6,0,0,0,0,0,false,false,false,false,false,false,false,false
6,32,32,0,0,0,0,0,false,false,false,false,false,false,false,false
7,46,46,0,0,0,1,0,false,false,false,false,false,false,false,false
8,58,58,0,0,0,1,0,false,false,false,false,false,false,false,false
9,62,62,0,0,0,1,0,false,false,false,false,false,false,false,false
10,68,68,0,0,0,1,0,false,false,false,false,false,false,false,false
11,73,73,0,0,0,1,0,false,false,false,false,false,false,false,true
12,76,76,0,0,0,9,8,true,false,false,false,false,false,false,true
13,77,77,0,0,0,16,14,true,false,false,false,false,false,false,true
14,78,78,0,0,0,22,18,true,false,false,false,false,false,false,true
15,78,78,0,0,0,23,19,true,false,false,false,false,false,false,true
16,79,79,0,0,0,25,21,true,false,false,false,false,false,false,true
17,89,89,0,0,0,27,22,true,false,false,false,false,false,false,true
18,97,97,0,0,0,28,23,true,false,false,false,false,false,false,true
19,100,100,0,0,0,28,23,true,false,false,false,false,false,false,true
20,104,104,0,0,0,28,23,true,false,false,false,false,false,false,true
21,106,106,0,0,0,28,23,true,false,false,false,false,false,false,true
22,108,107,0,1,0,28,23,true,false,false,false,false,false,false,true
23,122,120,0,2,0,33,28,true,false,false,false,false,false,false,true
24,140,138,0,2,0,38,32,true,false,false,false,false,false,false,true
25,161,159,0,2,0,38,32,true,false,false,false,false,false,false,true
26,180,178,0,2,0,40,33,true,false,false,false,false,false,false,true
27,192,164,0,28,0,41,34,true,false,false,false,false,false,false,true
28,203,161,0,42,0,42,35,true,false,false,false,false,false,false,true
29,207,153,1,53,0,48,39,true,false,false,false,false,false,false,true
30,214,156,1,57,0,58,47,true,false,false,false,false,false,false,true
31,225,161,1,63,0,66,55,true,false,false,false,false,false,false,true
32,236,167,1,68,0,74,61,true,false,false,false,false,false,false,true
33,252,180,1,71,0,79,65,true,false,false,false,false,false,false,true
34,265,192,1,72,0,84,67,true,false,false,false,false,false,false,true
35,299,225,1,73,0,86,68,true,false,false,false,false,false,false,true
36,334,260,1,73,0,90,71,true,false,false,false,false,false,false,true
37,359,284,1,74,0,94,74,true,false,false,false,false,false,false,true
38,397,312,1,84,0,97,77,true,false,false,false,false,false,false,true
39,427,334,3,90,0,105,85,true,false,false,false,false,false,false,true
40,463,367,3,93,0,112,91,true,false,false,false,false,false,false,true
41,487,387,3,97,0,125,100,true,false,false,false,false,false,false,true
42,507,405,3,99,0,139,109,true,false,false,false,false,false,false,true
43,524,420,3,101,0,150,118,true,false,false,false,false,false,false,true
44,552,434,4,114,0,161,128,true,false,false,false,false,false,false,true
45,568,432,4,132,0,177,140,true,false,false,false,false,false,false,true
46,597,440,7,150,0,188,148,true,false,false,false,false,false,false,true
47,618,442,9,167,0,199,158,true,false,false,false,false,false,false,true
48,649,461,10,178,0,208,166,true,false,false,false,false,false,false,true
49,663,464,10,189,0,213,170,true,false,false,false,false,false,false,true
50,679,476,10,193,0,225,182,true,false,false,false,false,false,false,true
51,710,500,10,200,0,231,188,true,false,false,false,false,false,false,true
52,739,518,10,211,0,243,195,true,false,false,false,false,false,false,true
53,764,532,10,222,0,251,200,true,false,false,false,false,false,false,true
54,784,536,11,237,0,265,211,true,false,false,false,false,false,false,true
55,815,554,11,250,0,271,216,true,false,false,false,false,false,false,true
56,838,543,14,281,0,273,218,true,false,false,false,false,false,false,true
57,868,538,16,314,0,286,225,true,false,false,false,false,false,false,true
58,903,548,18,337,0,302,240,true,false,false,false,false,false,false,true
59,932,539,21,372,0,316,253,true,false,false,false,false,false,false,true
60,964,541,23,400,0,325,262,true,false,false,false,false,false,false,true
61,986,527,24,435,0,336,268,true,false,false,false,false,false,false,true
62,1018,535,26,457,0,345,276,true,false,false,false,false,false,false,true
63,1055,552,27,476,0,359,286,true,false,false,false,false,false,false,true
64,1077,557,29,491,0,370,296,true,false,false,false,false,false,false,true
65,1110,562,32,516,0,385,307,true,false,false,false,false,false,false,true
66,1138,574,33,531,0,392,312,true,false,false,false,false,false,false,true
67,1172,579,35,558,0,404,322,true,false,false,false,false,false,false,true
68,1206,592,36,578,0,411,325,true,false,false,false,false,false,false,true
69,1239,594,37,608,0,427,337,true,false,false,false,false,false,false,true
70,1275,616,37,622,0,434,344,true,false,false,false,false,false,false,true
71,1302,627,37,638,0,446,355,true,false,false,false,false,false,false,true
72,1326,620,37,669,0,461,367,true,false,false,false,false,false,false,true
73,1356,621,38,697,0,475,377,true,false,false,false,false,false,false,true
74,1395,635,41,719,0,486,383,true,false,false,false,false,false,false,true
75,1436,656,41,739,0,503,398,true,false,false,false,false,false,false,true
76,1466,655,42,769,0,516,403,true,false,false,false,false,false,false,true
77,1498,664,42,792,0,533,420,true,false,false,false,false,false,false,true
78,1529,665,44,820,0,540,426,true,false,false,false,false,false,false,true
79,1559,660,44,855,0,551,435,true,false,false,false,false,false,false,true
80,1589,661,44,884,0,565,445,true,false,false,false,false,false,false,true
81,1624,664,45,915,0,580,456,true,false,false,false,false,false,false,true
82,1653,671,46,936,0,589,464,true,false,false,false,false,false,false,true
83,1686,672,47,967,0,601,472,true,false,false,false,false,false,false,true
84,1715,664,50,1001,0,615,483,true,false,false,false,false,false,false,true
85,1747,674,52,1021,0,627,492,true,false,false,false,false,false,false,true
86,1790,684,57,1049,0,638,499,true,false,false,false,false,false,false,true
87,1823,689,58,1076,0,643,504,true,false,false,false,false,false,false,true
88,1854,686,60,1108,0,657,514,true,false,false,false,false,false,false,true
89,1888,686,62,1140,0,672,523,true,false,false,false,false,false,false,true
90,1927,692,63,1172,0,686,535,true,false,false,false,false,false,false,true
91,1975,704,67,1204,0,702,548,true,false,false,false,false,false,false,true
92,2033,735,69,1229,0,716,560,true,false,false,false,false,false,false,true
93,2071,749,70,1252,0,727,569,true,false,false,false,false,false,false,true
94,2110,758,70,1282,0,741,580,true,false,false,false,false,false,false,true
95,2131,740,71,1320,0,759,592,true,false,false,false,false,false,false,true
96,2159,727,75,1357,0,778,607,true,false,false,false,false,false,false,true
97,2189,727,75,1387,0,794,620,true,false,false,false,false,false,false,true
98,2219,725,77,1417,0,816,637,true,false,false,false,false,false,false,true
99,2248,723,79,1446,0,829,648,true,false,false,false,false,false,false,true
100,2280,725,82,1473,0,846,665,true,false,false,false,false,false,false,true
101,2314,729,82,1503,0,853,670,true,false,false,false,false,false,false,true
102,2350,730,82,1538,0,864,676,true,false,false,false,false,false,false,true
103,2381,732,84,1565,0,872,682,true,false,false,false,false,false,false,true
104,2417,735,84,1598,0,885,693,true,false,false,false,false,false,false,true
105,2443,732,87,1624,0,896,703,true,false,false,false,false,false,false,true
106,2470,727,91,1652,0,911,715,true,false,false,false,false,false,false,true
107,2500,714,92,1694,0,917,719,true,false,false,false,false,false,false,true
108,2525,706,94,1725,0,931,731,true,false,false,false,false,false,false,true
109,2558,708,96,1754,0,938,736,true,false,false,false,false,false,false,true
110,2615,731,101,1783,0,954,749,true,false,false,false,false,false,false,true
111,2664,741,105,1818,0,962,757,true,false,false,false,false,false,false,true
112,2707,736,108,1863,0,974,766,true,false,false,false,false,false,false,true
113,2741,712,113,1916,0,986,774,true,false,false,false,false,false,false,true
114,2781,714,115,1952,0,994,782,true,false,false,false,false,false,false,true
115,2837,731,115,1991,0,1007,793,true,false,false,false,false,false,false,true
