day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,3,3,0,0,0,0,0,false,false,false,false,false,false,false,false
3,4,4,0,0,0,0,0,false,false,false,false,false,false,false,false
4,5,5,0,0,0,0,0,false,false,false,false,false,false,false,false
5,6,6,0,0,0,0,0,false,false,false,false,false,false,false,false
6,9,9,0,0,0,0,0,false,false,false,false,false,false,false,false
7,9,9,0,0,0,0,0,false,false,false,false,false,false,false,false
8,9,9,0,0,0,0,0,false,false,false,false,false,false,false,false
9,9,9,0,0,0,0,0,false,false,false,false,false,false,false,false
10,16,16,0,0,0,0,0,false,false,false,false,false,false,false,false
11,24,24,0,0,0,0,0,false,false,false,false,false,false,false,false
12,34,34,0,0,0,1,1,false,false,false,false,false,false,false,false
13,41,41,0,0,0,1,1,false,false,false,false,false,false,false,false
14,42,42,0,0,0,1,1,false,false,false,false,false,false,false,false
15,47,47,0,0,0,1,1,false,false,false,false,false,false,false,false
16,47,47,0,0,0,4,3,false,false,false,false,false,false,false,false
17,47,47,0,0,0,8,7,false,false,false,false,false,false,false,false
18,49,49,0,0,0,12,11,false,false,false,false,false,false,false,false
19,51,51,0,0,0,15,14,false,false,false,false,false,false,false,false
20,52,52,0,0,0,15,14,false,false,false,false,false,false,false,false
21,52,52,0,0,0,16,15,false,false,false,false,false,false,false,false
22,83,82,0,1,0,16,15,false,false,false,false,false,false,false,false
23,109,108,0,1,0,16,15,false,false,false,false,false,false,false,false
24,136,135,0,1,0,16,15,false,false,false,false,false,false,false,false
25,162,161,0,1,0,17,15,false,false,false,false,false,false,false,false
26,180,179,0,1,0,18,15,false,false,false,false,false,false,false,false
27,218,214,0,4,0,18,15,false,false,false,false,false,false,false,false
28,262,258,0,4,0,29,23,false,false,false,false,false,false,false,false
29,301,297,0,4,0,41,32,false,false,false,false,false,false,false,false
30,354,350,0,4,0,57,43,false,false,false,false,false,false,false,false
31,396,385,1,10,0,65,50,false,false,false,false,false,false,false,false
32,429,410,2,17,0,73,55,false,false,false,false,false,false,false,false
33,472,443,3,26,0,87,65,false,false,false,false,false,false,false,false
34,511,475,3,33,0,104,77,false,false,false,false,false,false,false,false
35,569,532,3,34,0,119,90,false,false,false,false,false,false,false,false
36,623,581,3,39,0,141,108,false,false,false,false,false,false,false,false
37,654,612,3,39,0,157,120,false,false,false,false,false,false,false,false
38,703,661,3,39,0,167,130,false,false,false,false,false,false,false,false
39,759,715,3,41,0,182,143,false,false,false,false,false,false,false,false
40,791,745,3,43,0,194,151,false,false,false,false,false,false,false,false
41,832,785,3,44,0,223,171,false,false,false,false,false,false,false,false
42,887,840,3,44,0,236,178,false,false,false,false,false,false,false,false
43,957,879,7,71,0,248,186,false,false,false,false,false,false,false,false
44,1016,912,8,96,0,267,201,false,false,false,false,false,false,false,false
45,1054,923,9,122,0,293,223,false,false,false,false,false,false,false,false
46,1088,931,10,147,0,307,235,false,false,false,false,false,false,false,false
47,1124,949,10,165,0,326,251,false,false,false,false,false,false,false,false
48,1166,953,11,202,0,352,274,false,false,false,false,false,false,false,false
49,1228,971,15,242,0,384,297,false,false,false,false,false,false,false,false
50,1253,957,18,278,0,405,312,false,false,false,false,false,false,false,false
51,1279,930,19,330,0,426,328,false,false,false,false,false,false,false,false
52,1306,915,20,371,0,449,346,false,false,false,false,false,false,false,false
53,1328,904,22,402,0,465,361,false,false,false,false,false,false,false,false
54,1358,891,23,444,0,477,370,false,false,false,false,false,false,false,false
55,1381,875,23,483,0,499,389,false,false,false,false,false,false,false,false
56,1411,847,32,532,0,507,396,false,false,false,false,false,false,false,false
57,1434,816,33,585,0,520,406,false,false,false,false,false,false,false,false
58,1461,812,35,614,0,527,411,false,false,false,false,false,false,false,false
59,1482,784,39,659,0,532,414,false,false,false,false,false,false,false,false
60,1536,782,42,712,0,542,421,false,false,false,false,false,false,false,false
61,1638,852,42,744,0,550,427,false,false,false,false,false,false,false,false
62,1726,899,43,784,0,559,434,false,false,false,false,false,false,false,false
63,1792,910,43,839,0,571,444,false,false,false,false,false,false,false,false
64,1866,914,49,903,0,580,453,false,false,false,false,false,false,false,false
65,1928,917,51,960,0,587,460,false,false,false,false,false,false,false,false
66,1973,924,52,997,0,608,476,false,false,false,false,false,false,false,false
67,2016,933,57,1026,0,652,511,false,false,false,false,false,false,false,false
68,2093,974,58,1061,0,687,539,false,false,false,false,false,false,false,false
69,2153,992,61,1100,0,720,567,false,false,false,false,false,false,false,false
70,2216,993,62,1161,0,752,591,false,false,false,false,false,false,false,false
71,2307,1059,63,1185,0,773,605,false,false,false,false,false,false,false,false
72,2399,1125,64,1210,0,788,618,false,false,false,false,false,false,false,false
73,2495,1194,66,1235,0,804,628,false,false,false,false,false,false,false,false
74,2600,1277,66,1257,0,834,651,false,false,false,false,false,false,false,false
75,2738,1385,69,1284,0,855,664,false,false,false,false,false,false,false,false
76,2846,1470,69,1307,0,884,691,false,false,false,false,false,false,false,false
77,2927,1521,70,1336,0,915,712,false,false,false,false,false,false,false,false
