day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,24,24,0,0,0,0,0,false,false,false,false,false,false,false,false
3,24,24,0,0,0,0,0,false,false,false,false,false,false,false,false
4,25,25,0,0,0,0,0,false,false,false,false,false,false,false,false
5,25,25,0,0,0,0,0,false,false,false,false,false,false,false,false
6,33,33,0,0,0,0,0,false,false,false,false,false,false,false,false
7,37,37,0,0,0,1,1,false,false,false,false,false,false,false,false
8,37,37,0,0,0,8,6,false,false,false,false,false,false,false,false
9,46,46,0,0,0,8,6,false,false,false,false,false,false,false,false
10,51,51,0,0,0,8,6,false,false,false,false,false,false,false,false
11,70,70,0,0,0,8,6,false,false,false,false,false,false,false,false
12,88,88,0,0,0,14,12,false,false,false,false,false,false,false,false
13,104,104,0,0,0,15,12,false,false,false,false,false,false,false,false
14,112,112,0,0,0,15,12,false,false,false,false,false,false,false,false
15,126,126,0,0,0,19,15,false,false,false,false,false,false,false,false
16,143,143,0,0,0,21,17,false,false,false,false,false,false,false,false
17,161,161,0,0,0,27,23,false,false,false,false,false,false,false,false
18,180,180,0,0,0,36,31,false,false,false,false,false,false,false,false
19,206,206,0,0,0,44,37,false,false,false,false,false,false,false,false
20,223,223,0,0,0,48,41,false,false,false,false,false,false,false,false
21,254,254,0,0,0,55,46,false,false,false,false,false,false,false,false
22,309,308,0,1,0,62,51,false,false,false,false,false,false,false,false
23,363,340,0,23,0,71,60,false,false,false,false,false,false,false,false
24,385,362,0,23,0,80,69,false,false,false,false,false,false,false,false
25,386,362,0,24,0,91,79,false,false,false,false,false,false,false,false
26,393,369,0,24,0,97,83,false,false,false,false,false,false,false,false
27,402,370,0,32,0,113,95,false,false,false,false,false,false,false,false
28,412,376,0,36,0,135,115,false,false,false,false,false,false,false,false
29,417,381,0,36,0,155,133,false,false,false,false,false,false,false,false
30,421,376,0,45,0,163,141,false,false,false,false,false,false,false,false
31,431,381,0,50,0,163,141,false,false,false,false,false,false,false,false
32,436,367,2,67,0,165,142,false,false,false,false,false,false,false,false
33,447,360,3,84,0,170,147,false,false,false,false,false,false,false,false
34,453,350,4,99,0,172,149,false,false,false,false,false,false,false,false
35,458,347,4,107,0,174,151,false,false,false,false,false,false,false,false
36,460,335,4,121,0,174,151,false,false,false,false,false,false,false,false
37,468,326,6,136,0,178,155,false,false,false,false,false,false,false,false
38,473,313,7,153,0,181,157,false,false,false,false,false,false,false,false
39,477,298,8,171,0,187,163,false,false,false,false,false,false,false,false
40,482,277,9,196,0,189,165,false,false,false,false,false,false,false,false
41,485,263,10,212,0,191,166,false,false,false,false,false,false,false,false
42,495,242,12,241,0,191,166,false,false,false,false,false,false,false,false
43,506,198,16,292,0,195,169,false,false,false,false,false,false,false,false
44,509,147,17,345,0,197,169,false,false,false,false,false,false,false,false
45,516,132,17,367,0,199,170,false,false,false,false,false,false,false,false
46,520,135,17,368,0,202,172,false,false,false,false,false,false,false,false
47,524,132,17,375,0,204,173,false,false,false,false,false,false,false,false
48,526,125,18,383,0,209,177,false,false,false,false,false,false,false,false
49,527,116,18,393,0,216,184,false,false,false,false,false,false,false,false
50,529,113,18,398,0,218,186,false,false,false,false,false,false,false,false
51,531,111,18,402,0,223,191,false,false,false,false,false,false,false,false
52,532,102,18,412,0,225,192,false,false,false,false,false,false,false,false
53,539,104,18,417,0,227,194,false,false,false,false,false,false,false,false
54,542,96,19,427,0,228,194,false,false,false,false,false,false,false,false
55,543,91,19,433,0,229,195,false,false,false,false,false,false,false,false
56,546,89,19,438,0,231,197,false,false,false,false,false,false,false,false
57,548,89,19,440,0,231,197,false,false,false,false,false,false,false,false
58,553,86,19,448,0,232,198,false,false,false,false,false,false,false,false
59,555,83,20,452,0,236,201,false,false,false,false,false,false,false,false
60,556,80,21,455,0,237,202,false,false,false,false,false,false,false,false
61,558,77,21,460,0,237,202,false,false,false,false,false,false,false,false
62,562,78,21,463,0,239,203,false,false,false,false,false,false,false,false
63,564,70,21,473,0,239,203,false,false,false,false,false,false,false,false
64,564,59,21,484,0,239,203,false,false,false,false,false,false,false,false
65,566,58,21,487,0,241,205,false,false,false,false,false,false,false,false
66,567,52,21,494,0,242,206,false,false,false,false,false,false,false,false
67,574,55,21,498,0,242,206,false,false,false,false,false,false,false,false
68,574,51,22,501,0,245,209,false,false,false,false,false,false,false,false
69,574,49,22,503,0,245,209,false,false,false,false,false,false,false,false
70,575,49,22,504,0,245,209,false,false,false,false,false,false,false,false
71,575,47,22,506,0,245,209,false,false,false,false,false,false,false,false
72,576,46,22,508,0,245,209,false,false,false,false,false,false,false,false
73,579,48,22,509,0,248,212,false,false,false,false,false,false,false,false
74,581,43,22,516,0,248,212,false,false,false,false,false,false,false,false
75,583,42,22,519,0,248,212,false,false,false,false,false,false,false,false
76,583,41,22,520,0,249,213,false,false,false,false,false,false,false,false
77,585,40,22,523,0,249,213,false,false,false,false,false,false,false,false
78,589,42,22,525,0,249,213,false,false,false,false,false,false,false,false
79,589,37,22,530,0,250,214,false,false,false,false,false,false,false,false
80,594,40,22,532,0,250,214,false,false,false,false,false,false,false,false
81,595,40,22,533,0,251,214,false,false,false,false,false,false,false,false
82,598,41,22,535,0,251,214,false,false,false,false,false,false,false,false
83,603,42,23,538,0,251,214,false,false,false,false,false,false,false,false
84,603,40,23,540,0,251,214,false,false,false,false,false,false,false,false
85,607,44,23,540,0,251,214,false,false,false,false,false,false,false,false
86,612,47,23,542,0,253,216,false,false,false,false,false,false,false,false
87,614,48,23,543,0,254,217,false,false,false,false,false,false,false,false
88,615,42,23,550,0,257,220,false,false,false,false,false,false,false,false
89,618,45,23,550,0,259,222,false,false,false,false,false,false,false,false
90,618,45,23,550,0,259,222,false,false,false,false,false,false,false,false
91,620,46,23,551,0,261,223,false,false,false,false,false,false,false,false
92,620,46,23,551,0,262,224,false,false,false,false,false,false,false,false
93,620,45,23,552,0,263,225,false,false,false,false,false,false,false,false
