day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,5,5,0,0,0,0,0,false,false,false,false,false,false,false,false
3,6,6,0,0,0,0,0,false,false,false,false,false,false,false,false
4,6,6,0,0,0,0,0,false,false,false,false,false,false,false,false
5,28,28,0,0,0,0,0,false,false,false,false,false,false,false,false
6,70,70,0,0,0,0,0,false,false,false,false,false,false,false,false
7,107,107,0,0,0,0,0,false,false,false,false,false,false,false,false
8,118,118,0,0,0,1,1,false,false,false,false,false,false,false,false
9,122,122,0,0,0,1,1,false,false,false,false,false,false,false,false
10,140,140,0,0,0,1,1,false,false,false,false,false,false,false,false
11,149,149,0,0,0,10,8,false,false,false,false,false,false,false,false
12,169,169,0,0,0,27,22,false,false,false,false,false,false,false,false
13,184,184,0,0,0,41,34,false,false,false,false,false,false,false,false
14,207,207,0,0,0,48,41,false,false,false,false,false,false,false,false
15,244,244,0,0,0,48,41,false,false,false,false,false,false,false,false
16,287,287,0,0,0,57,49,false,false,false,false,false,false,false,false
17,349,349,0,0,50,63,50,false,false,false,false,false,true,false,false
18,421,421,0,0,56,71,56,false,false,false,false,false,true,false,false
19,488,488,0,0,64,79,64,false,false,false,false,false,true,false,false
20,548,548,0,0,73,90,73,false,false,false,false,false,true,false,false
21,588,588,0,0,86,105,86,false,false,false,false,false,true,false,false
22,657,656,0,1,102,125,102,false,false,false,false,false,true,false,false
23,751,748,0,3,126,157,126,false,false,false,false,false,true,false,false
24,828,825,0,3,154,190,154,false,false,false,false,false,true,false,false
25,904,901,0,3,175,214,175,false,false,false,false,false,true,false,false
26,998,973,1,24,198,243,199,false,false,false,false,false,true,false,false
27,1072,1005,2,65,217,264,218,false,false,false,false,false,true,false,false
28,1137,1033,4,100,241,292,244,false,false,false,false,false,true,false,false
29,1220,1105,4,111,266,324,269,false,false,false,false,false,true,false,false
30,1298,1179,4,115,292,357,295,false,false,false,false,false,true,false,false
31,1371,1234,5,132,315,385,319,false,false,false,false,false,true,false,false
32,1486,1340,5,141,347,420,351,false,false,false,false,false,true,false,false
33,1587,1421,6,160,365,452,370,false,false,false,false,false,true,false,false
34,1679,1498,7,174,379,471,385,false,false,false,false,false,true,false,false
35,1746,1542,7,197,402,502,408,false,false,false,false,false,true,false,false
36,1812,1571,7,234,420,523,426,false,false,false,false,false,true,false,false
37,1892,1608,7,277,449,559,455,false,false,false,false,false,true,false,false
38,1999,1653,9,337,440,605,494,false,false,false,false,false,true,false,false
39,2075,1657,16,402,463,645,528,false,false,false,false,false,true,false,false
40,2223,1738,17,468,482,683,554,false,false,false,false,false,true,false,false
41,2330,1785,21,524,486,705,571,false,false,false,false,false,true,false,false
42,2447,1862,24,561,491,731,592,false,false,false,false,false,true,false,false
43,2568,1914,26,628,501,765,620,false,false,false,false,false,true,false,false
44,2666,1918,31,717,506,803,651,false,false,false,false,false,true,false,false
45,2746,1921,35,790,505,832,676,false,false,false,false,false,true,false,false
46,2849,1948,40,861,531,896,728,false,false,false,false,false,true,false,false
47,2950,1955,48,947,543,943,767,false,false,false,false,false,true,false,false
48,3046,1977,50,1019,564,991,805,false,false,false,false,false,true,false,false
49,3144,2010,52,1082,574,1038,841,false,false,false,false,false,true,false,false
50,3247,2030,56,1161,586,1080,875,false,false,false,false,false,true,false,false
51,3317,2022,58,1237,581,1104,892,false,false,false,false,false,true,false,false
52,3395,2027,63,1305,583,1132,917,false,false,false,false,false,true,false,false
53,3470,1987,67,1416,587,1172,949,false,false,false,false,false,true,false,false
54,3570,1986,70,1514,601,1212,984,false,false,false,false,false,true,false,false
55,3630,1954,74,1602,616,1248,1015,false,false,false,false,false,true,false,false
56,3713,1970,76,1667,620,1285,1043,false,false,false,false,false,true,false,false
57,3797,1988,81,1728,628,1318,1072,false,false,false,false,false,true,false,false
58,3925,2036,86,1803,628,1356,1101,false,false,false,false,false,true,false,false
59,4012,2016,90,1906,607,1383,1120,false,false,false,false,false,true,false,false
60,4142,2070,96,1976,607,1427,1157,false,false,false,false,false,true,false,false
61,4262,2042,106,2114,588,1445,1171,false,false,false,false,false,true,false,false
62,4360,2033,112,2215,600,1489,1204,false,false,false,false,false,true,false,false
63,4427,1983,122,2322,599,1522,1231,false,false,false,false,false,true,false,false
64,4481,1916,125,2440,614,1572,1272,false,false,false,false,false,true,false,false
65,4528,1865,128,2535,607,1600,1295,false,false,false,false,false,true,false,false
66,4571,1828,130,2613,631,1658,1339,false,false,false,false,false,true,false,false
67,4627,1781,135,2711,618,1696,1372,false,false,false,false,false,true,false,false
68,4673,1726,139,2808,617,1739,1407,false,false,false,false,false,true,false,false
69,4695,1652,140,2903,605,1766,1424,false,false,false,false,false,true,false,false
70,4723,1582,142,2999,593,1794,1448,false,false,false,false,false,true,false,false
71,4746,1502,148,3096,571,1811,1462,false,false,false,false,false,true,false,false
72,4768,1454,151,3163,564,1826,1474,false,false,false,false,false,true,false,false
73,4787,1395,158,3234,556,1847,1492,false,false,false,false,false,true,false,false
74,4805,1338,160,3307,541,1869,1508,false,false,false,false,false,true,false,false
75,4818,1251,161,3406,510,1876,1512,false,false,false,false,false,true,false,false
76,4840,1213,165,3462,486,1888,1521,false,false,false,false,false,true,false,false
77,4853,1143,170,3540,466,1897,1529,false,false,false,false,false,true,false,false
78,4867,1073,176,3618,444,1907,1539,false,false,false,false,false,true,false,false
79,4875,953,179,3743,426,1915,1547,false,false,false,false,false,true,false,false
80,4876,867,182,3827,414,1924,1555,false,false,false,false,false,true,false,false
81,4881,742,191,3948,372,1927,1557,false,false,false,false,false,true,false,false
82,4893,634,197,4062,360,1931,1560,false,false,false,false,false,true,false,false
83,4904,547,205,4152,331,1938,1566,false,false,false,false,false,true,false,false
84,4910,486,211,4213,311,1944,1572,false,false,false,false,false,true,false,false
85,4915,437,216,4262,269,1945,1572,false,false,false,false,false,true,false,false
86,4922,397,216,4309,250,1946,1573,false,false,false,false,false,true,false,false
87,4927,359,217,4351,213,1948,1573,false,false,false,false,false,true,false,false
88,4928,304,219,4405,188,1955,1578,false,false,false,false,false,true,false,false
89,4932,262,223,4447,160,1959,1581,false,false,false,false,false,true,false,false
90,4939,247,224,4468,150,1961,1583,false,false,false,false,false,true,false,false
91,4943,223,226,4494,129,1962,1584,false,false,false,false,false,true,false,false
92,4945,202,227,4516,116,1965,1586,false,false,false,false,false,true,false,false
