day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,3,3,0,0,0,0,0,false,false,false,false,false,false,false,false
3,4,4,0,0,0,0,0,false,false,false,false,false,false,false,false
4,5,5,0,0,0,0,0,false,false,false,false,false,false,false,false
5,13,13,0,0,0,0,0,false,false,false,false,false,false,false,false
6,23,23,0,0,0,0,0,false,false,false,false,false,false,false,false
7,37,37,0,0,0,1,0,false,false,false,false,false,false,false,false
8,45,45,0,0,0,1,0,false,false,false,false,false,false,false,false
9,45,45,0,0,0,1,0,false,false,false,false,false,false,false,false
10,47,47,0,0,0,1,0,false,false,false,false,false,false,false,false
11,56,56,0,0,0,7,5,false,false,false,false,false,false,false,false
12,97,97,0,0,0,9,6,false,false,false,false,false,false,false,false
13,129,129,0,0,0,14,11,false,false,false,false,false,false,false,false
14,148,148,0,0,0,16,12,false,false,false,false,false,false,false,false
15,169,169,0,0,0,16,12,false,false,false,false,false,false,false,false
16,185,185,0,0,12,16,12,false,false,false,false,false,true,false,false
17,196,196,0,0,16,20,16,false,false,false,false,false,true,false,false
18,233,233,0,0,28,34,28,false,false,false,false,false,true,false,false
19,248,248,0,0,36,44,36,false,false,false,false,false,true,false,false
20,270,270,0,0,43,52,43,false,false,false,false,false,true,false,false
21,334,334,0,0,48,62,48,false,false,false,false,false,true,false,false
22,386,385,0,1,51,66,51,false,false,false,false,false,true,false,false
23,466,465,0,1,55,71,55,false,false,false,false,false,true,false,false
24,535,534,0,1,71,91,71,false,false,false,false,false,true,false,false
25,592,591,0,1,73,96,73,false,false,false,false,false,true,false,false
26,645,636,1,8,74,100,75,false,false,false,false,false,true,false,false
27,685,666,1,18,95,123,96,false,false,false,false,false,true,false,false
28,727,694,2,31,111,142,113,false,false,false,false,true,true,false,false
29,814,773,2,39,138,180,140,false,false,false,false,true,true,false,false
30,903,862,2,39,159,205,161,false,false,false,false,true,true,false,false
31,1015,972,2,41,176,226,178,false,false,false,false,true,true,false,false
32,1133,1081,3,49,191,248,194,false,false,false,false,true,true,false,false
33,1248,1155,4,89,205,265,209,false,false,false,false,true,true,false,false
34,1356,1231,5,120,216,281,221,false,false,false,false,true,true,false,false
35,1462,1318,6,138,248,322,254,false,false,false,false,true,true,false,false
36,1630,1465,7,158,277,363,284,false,false,false,false,true,true,false,false
37,1911,1730,7,174,298,404,315,false,false,false,false,true,true,false,false
38,2182,1990,8,184,334,454,355,false,false,false,false,true,true,false,false
39,2464,2235,8,221,357,500,389,false,false,false,false,true,true,false,false
40,2756,2512,9,235,389,546,429,false,false,false,false,true,true,false,false
41,3019,2753,10,256,420,591,466,false,false,false,false,true,true,false,false
42,3317,2987,15,315,465,658,520,false,false,false,false,true,true,false,false
43,3588,3206,17,365,550,772,610,false,false,false,false,true,true,false,false
44,3845,3383,23,439,632,888,698,false,false,false,false,true,true,false,false
45,4059,3528,26,505,718,1019,803,false,false,false,false,true,true,false,false
46,4257,3669,27,561,816,1139,902,false,false,false,false,true,true,false,false
47,4408,3767,31,610,897,1241,988,false,false,false,false,true,true,false,false
48,4538,3857,31,650,976,1365,1083,false,false,false,false,true,true,false,false
49,4654,3931,32,691,1051,1479,1174,false,false,false,false,true,true,false,false
50,4727,3917,37,773,1105,1586,1256,false,false,false,false,true,true,false,false
51,4790,3891,43,856,1142,1665,1314,false,false,false,false,true,true,false,false
52,4852,3841,46,965,1189,1752,1380,false,false,false,false,true,true,false,false
53,4903,3774,53,1076,1212,1805,1422,false,false,false,false,true,true,false,false
54,4942,3698,54,1190,1232,1853,1457,false,false,false,false,true,true,false,false
55,4971,3619,60,1292,1256,1896,1496,false,false,false,false,true,true,false,false
56,4986,3528,66,1392,1249,1927,1524,false,false,false,false,true,true,false,false
57,5003,3377,69,1557,1242,1953,1546,false,false,false,false,true,true,false,false
58,5020,3113,80,1827,1220,1975,1563,false,false,false,false,true,true,false,false
59,5030,2852,94,2084,1187,1993,1578,false,false,false,false,true,true,false,false
60,5044,2584,104,2356,1159,2010,1592,false,false,false,false,true,true,false,false
61,5056,2304,116,2636,1127,2026,1605,false,false,false,false,true,true,false,false
62,5063,2048,124,2891,1095,2030,1609,false,false,false,false,true,true,false,false
63,5072,1759,139,3174,1040,2038,1616,false,false,false,false,true,true,false,false
64,5075,1491,150,3434,954,2043,1619,false,false,false,false,true,true,false,false
65,5077,1236,157,3684,877,2047,1622,false,false,false,false,true,true,false,false
66,5080,1025,168,3887,777,2051,1626,false,false,false,false,true,true,false,false
67,5084,831,176,4077,685,2056,1631,false,false,false,false,true,true,false,false
68,5090,686,180,4224,604,2060,1635,false,false,false,false,true,true,false,false
69,5091,557,186,4348,521,2066,1640,false,false,false,false,true,true,false,false
70,5092,442,188,4462,437,2066,1640,false,false,false,false,true,true,false,false
71,5095,372,194,4529,355,2067,1640,false,false,false,false,true,true,false,false
72,5098,312,197,4589,301,2067,1640,false,false,false,false,true,true,false,false
73,5102,254,200,4648,240,2068,1641,false,false,false,false,true,true,false,false
