day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,3,3,0,0,0,0,0,false,false,false,false,false,false,false,false
3,4,4,0,0,0,0,0,false,false,false,false,false,false,false,false
4,5,5,0,0,0,0,0,false,false,false,false,false,false,false,false
5,6,6,0,0,0,0,0,false,false,false,false,false,false,false,false
6,6,6,0,0,0,0,0,false,false,false,false,false,false,false,false
7,32,32,0,0,0,0,0,false,false,false,false,false,false,false,false
8,42,42,0,0,0,0,0,false,false,false,false,false,false,false,false
9,48,48,0,0,0,0,0,false,false,false,false,false,false,false,false
10,76,76,0,0,0,0,0,false,false,false,false,false,false,false,false
11,88,88,0,0,0,0,0,false,false,false,false,false,false,false,false
12,102,102,0,0,0,0,0,false,false,false,false,false,false,false,false
13,111,111,0,0,0,8,8,false,false,false,false,false,false,false,false
14,129,129,0,0,0,15,12,false,false,false,false,false,false,false,false
15,160,160,0,0,0,19,16,false,false,false,false,false,false,false,false
16,204,204,0,0,0,34,25,false,false,false,false,false,false,false,false
17,314,314,0,0,0,39,29,false,false,false,false,false,false,false,false
18,408,408,0,0,0,45,33,false,false,false,false,false,false,false,false
19,451,451,0,0,0,52,40,false,false,false,false,false,false,false,false
20,493,493,0,0,0,57,45,false,false,false,false,false,false,false,false
21,548,548,0,0,0,67,53,false,false,false,false,false,false,false,false
22,589,588,0,1,0,84,66,false,false,false,false,false,false,false,false
23,617,616,0,1,0,127,97,true,false,false,false,false,false,false,false
24,639,638,0,1,0,170,134,true,false,false,false,false,false,false,false
25,673,672,0,1,0,191,155,true,false,false,false,false,false,false,true
26,698,697,0,1,0,203,164,true,false,false,false,false,false,false,true
27,736,735,0,1,0,223,180,true,false,false,false,false,false,false,true
28,777,750,0,27,0,241,196,true,false,false,false,false,false,false,true
29,800,763,1,36,0,253,205,true,false,false,false,false,false,false,true
30,810,767,1,42,0,263,214,true,false,false,false,false,false,false,true
31,830,759,2,69,0,275,224,true,false,false,false,false,false,false,true
32,848,765,2,81,0,283,230,true,false,false,false,true,false,false,true
33,860,763,3,94,0,297,242,true,false,false,false,true,false,false,true
34,886,780,5,101,0,319,261,true,false,false,false,true,false,false,true
35,926,802,5,119,0,331,271,true,false,false,false,true,false,false,true
36,967,812,8,147,0,333,273,true,false,false,false,true,false,false,true
37,986,787,9,190,0,343,281,true,false,false,false,true,false,false,true
38,1019,710,12,297,0,353,291,true,false,false,false,true,false,false,true
39,1067,664,15,388,0,357,295,true,false,false,false,true,false,false,true
40,1119,673,20,426,0,365,302,true,false,false,false,true,false,false,true
41,1239,751,22,466,0,387,323,true,false,false,false,true,false,false,true
42,1325,782,22,521,0,406,340,true,false,false,false,true,false,false,true
43,1457,873,24,560,0,411,345,true,false,false,false,true,false,false,true
44,1580,968,24,588,0,424,355,true,false,false,false,true,false,false,true
45,1728,1094,26,608,0,448,374,true,false,false,false,true,false,false,true
46,1852,1184,29,639,0,459,383,true,false,false,false,true,false,false,true
47,2025,1332,31,662,0,509,422,true,false,false,false,true,false,false,true
48,2188,1457,34,697,0,549,451,true,false,false,false,true,false,false,true
49,2344,1572,36,736,0,606,497,true,false,false,false,true,false,false,true
50,2481,1686,37,758,0,654,536,true,false,false,false,true,false,false,true
51,2613,1808,37,768,0,692,566,true,false,false,false,true,false,false,true
52,2731,1906,40,785,0,744,610,true,false,false,false,true,false,false,true
53,2863,2020,40,803,0,818,667,true,false,false,false,true,false,false,true
54,2978,2123,40,815,0,887,729,true,false,false,false,true,false,false,true
55,3061,2180,40,841,0,944,774,true,false,false,false,true,false,false,true
56,3132,2211,44,877,0,1009,823,true,false,false,false,true,false,false,true
57,3217,2255,45,917,0,1058,863,true,false,false,false,true,false,false,true
58,3276,2295,45,936,0,1104,895,true,false,false,false,true,false,false,true
59,3331,2317,48,966,0,1162,942,true,false,false,false,true,false,false,true
60,3384,2322,52,1010,0,1208,980,true,false,false,false,true,false,false,true
61,3431,2317,53,1061,0,1242,1008,true,false,false,false,true,false,false,true
62,3487,2253,59,1175,0,1274,1035,true,false,false,false,true,false,false,true
63,3523,2203,65,1255,0,1311,1067,true,false,false,false,true,false,false,true
64,3566,2114,77,1375,0,1334,1085,true,false,false,false,true,false,false,true
65,3597,2022,85,1490,0,1363,1107,true,false,false,false,true,false,false,true
66,3630,1907,87,1636,0,1382,1119,true,false,false,false,true,false,false,true
67,3671,1824,97,1750,0,1395,1130,true,false,false,false,true,false,false,true
68,3698,1678,106,1914,0,1418,1153,true,false,false,false,true,false,false,true
69,3716,1533,116,2067,0,1431,1163,true,false,false,false,true,false,false,true
70,3738,1399,120,2219,0,1443,1170,true,false,false,false,true,false,false,true
71,3756,1280,126,2350,0,1453,1178,true,false,false,false,true,false,false,true
72,3777,1169,127,2481,0,1471,1193,true,false,false,false,true,false,false,true
73,3787,1061,134,2592,0,1488,1206,true,false,false,false,true,false,false,true
74,3797,939,138,2720,0,1492,1210,true,false,false,false,true,false,false,true
75,3811,838,146,2827,0,1500,1215,true,false,false,false,true,false,false,true
