day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,3,3,0,0,0,0,0,false,false,false,false,false,false,false,false
3,4,4,0,0,0,0,0,false,false,false,false,false,false,false,false
4,5,5,0,0,0,0,0,false,false,false,false,false,false,false,false
5,13,13,0,0,0,0,0,false,false,false,false,false,false,false,false
6,22,22,0,0,0,0,0,false,false,false,false,false,false,false,false
7,30,30,0,0,0,1,1,false,false,false,false,false,false,false,false
8,35,35,0,0,0,1,1,false,false,false,false,false,false,false,false
9,36,36,0,0,0,1,1,false,false,false,false,false,false,false,false
10,40,40,0,0,0,1,1,false,false,false,false,false,false,false,false
11,43,43,0,0,0,5,4,false,false,false,false,false,false,false,false
12,44,44,0,0,0,8,7,false,false,false,false,false,false,false,false
13,45,45,0,0,0,10,9,false,false,false,false,false,false,false,false
14,48,48,0,0,0,14,12,false,false,false,false,false,false,false,false
15,61,61,0,0,0,14,12,false,false,false,false,false,false,false,false
16,87,87,0,0,0,15,13,false,false,false,false,false,false,false,false
17,112,112,0,0,0,17,15,false,false,false,false,false,false,false,false
18,134,134,0,0,0,17,15,false,false,false,false,false,false,false,false
19,164,164,0,0,0,18,16,false,false,false,false,false,false,false,false
20,180,180,0,0,0,19,17,false,false,false,false,false,false,false,false
21,198,198,0,0,0,23,21,true,false,false,false,false,false,false,false
22,211,210,0,1,0,33,30,true,false,false,false,false,false,false,false
23,229,228,0,1,0,41,35,true,false,false,false,false,false,false,false
24,249,248,0,1,0,50,42,true,false,false,false,false,false,false,false
25,266,265,0,1,0,62,53,true,false,false,false,false,false,false,false
26,288,279,1,8,0,65,55,true,false,false,false,false,false,false,false
27,307,289,1,17,0,70,60,true,false,false,false,false,false,false,false
28,321,295,1,25,0,75,63,true,false,false,false,false,false,false,false
29,333,302,1,30,0,78,65,true,false,false,false,false,false,false,false
30,352,320,1,31,0,88,73,true,false,false,false,false,false,false,false
31,379,343,1,35,0,93,77,true,false,false,false,false,false,false,false
32,400,361,1,38,0,100,82,true,false,false,false,false,false,false,false
33,426,386,1,39,0,110,89,true,false,false,false,false,false,false,false
34,465,424,1,40,0,120,96,true,false,false,false,false,false,false,false
35,485,441,1,43,0,122,98,true,false,false,false,false,false,false,false
36,529,472,1,56,0,132,105,true,false,false,false,false,false,false,false
37,562,479,3,80,0,147,115,true,false,false,false,false,false,false,false
38,594,486,5,103,0,153,120,true,false,false,false,false,false,false,false
39,620,490,6,124,0,163,129,true,false,false,false,false,false,false,false
40,649,489,8,152,0,181,143,true,false,false,false,false,false,false,false
41,665,489,8,168,0,185,146,true,false,false,false,false,false,false,false
42,682,488,8,186,0,201,160,true,false,false,false,false,false,false,false
43,711,504,8,199,0,216,172,true,false,false,false,false,false,false,false
44,745,520,8,217,0,231,183,true,false,false,false,false,false,false,false
45,786,541,8,237,0,242,192,true,false,false,false,false,false,false,false
46,815,553,8,254,0,249,198,true,false,false,false,false,false,false,false
47,847,563,8,276,0,258,207,true,false,false,false,false,false,false,false
48,898,595,8,295,0,261,209,true,false,false,false,false,false,false,false
49,942,625,10,307,0,278,224,true,false,false,false,false,false,false,false
50,984,655,10,319,0,292,235,true,false,false,false,false,false,false,false
51,1042,694,10,338,0,315,255,true,false,false,false,false,false,false,false
52,1089,714,13,362,0,328,265,true,false,false,false,false,false,false,false
53,1153,757,14,382,0,341,275,true,false,false,false,false,false,false,false
54,1228,806,15,407,0,363,294,true,false,false,false,false,false,false,false
55,1269,808,20,441,0,379,305,true,false,false,false,false,false,false,false
56,1298,817,20,461,0,396,317,true,false,false,false,false,false,false,false
57,1331,806,23,502,0,424,339,true,false,false,false,false,false,false,false
58,1376,818,26,532,0,443,355,true,false,false,false,false,false,false,false
59,1425,835,27,563,0,470,377,true,false,false,false,false,false,false,false
60,1452,836,30,586,0,493,397,true,false,false,false,false,false,false,false
61,1494,849,30,615,0,514,415,true,false,false,false,false,false,false,false
62,1532,871,30,631,0,526,425,true,false,false,false,false,false,false,false
63,1567,889,30,648,0,538,436,true,false,false,false,false,false,false,false
64,1597,890,31,676,0,560,452,true,false,false,false,false,false,false,false
65,1612,871,34,707,0,579,468,true,false,false,false,false,false,false,false
66,1628,846,35,747,0,589,478,true,false,false,false,false,false,false,false
67,1636,825,37,774,0,608,492,true,false,false,false,false,false,false,false
68,1647,804,40,803,0,625,504,true,false,false,false,false,false,false,false
69,1658,764,45,849,0,639,516,true,false,false,false,false,false,false,false
70,1676,738,45,893,0,646,523,true,false,false,false,false,false,false,false
71,1702,722,49,931,0,647,524,true,false,false,false,false,false,false,false
72,1717,679,50,988,0,651,527,true,false,false,false,false,false,false,false
73,1729,644,51,1034,0,653,529,true,false,false,false,false,false,false,false
74,1745,596,55,1094,0,655,531,true,false,false,false,false,false,false,false
75,1759,535,56,1168,0,660,533,true,false,false,false,false,false,false,false
76,1786,521,60,1205,0,662,535,true,false,false,false,false,false,false,false
77,1807,513,62,1232,0,670,543,true,false,false,false,false,false,false,false
78,1828,501,62,1265,0,673,545,true,false,false,false,false,false,false,false
