day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,10,10,0,0,0,0,0,false,false,false,false,false,false,false,false
2,48,48,0,0,0,0,0,false,false,false,false,false,false,false,false
3,62,62,0,0,0,0,0,false,false,false,false,false,false,false,false
4,63,63,0,0,0,0,0,false,false,false,false,false,false,false,false
5,85,85,0,0,0,0,0,false,false,false,false,false,false,false,false
6,165,165,0,0,0,0,0,false,false,false,false,false,false,false,false
7,264,264,0,0,0,3,2,false,false,false,false,false,false,false,false
8,334,334,0,0,0,16,13,false,false,false,false,false,false,false,false
9,382,382,0,0,0,19,15,false,false,false,false,false,false,false,false
10,427,427,0,0,0,19,15,false,false,false,false,false,false,false,false
11,472,472,0,0,0,28,23,false,false,false,false,false,false,false,false
12,502,502,0,0,0,58,47,false,false,false,false,false,false,false,false
13,543,543,0,0,0,97,80,false,false,false,false,false,false,false,false
14,572,572,0,0,0,125,102,false,false,false,false,false,false,false,false
15,607,607,0,0,0,141,117,false,false,false,false,false,false,false,false
16,638,638,0,0,0,155,127,false,false,false,false,false,false,false,false
17,666,666,0,0,0,177,147,false,false,false,false,false,false,false,false
18,679,679,0,0,0,188,157,false,false,false,false,false,false,false,false
19,690,690,0,0,0,204,166,false,false,false,false,false,false,false,false
20,698,698,0,0,0,218,176,false,false,false,false,false,false,false,false
21,742,742,0,0,0,233,187,false,false,false,false,false,false,false,false
22,767,762,0,5,0,240,193,false,false,false,false,false,false,false,false
23,786,743,1,42,0,253,204,false,false,false,false,false,false,false,false
24,811,754,3,54,0,260,209,false,false,false,false,false,false,false,false
25,830,772,3,55,0,265,213,false,false,false,false,false,false,false,false
26,864,784,3,77,0,271,216,false,false,false,false,false,false,false,false
27,884,724,7,153,0,291,232,false,false,false,false,false,false,false,false
28,904,645,11,248,0,301,241,false,false,false,false,false,false,false,false
29,922,593,15,314,0,309,249,false,false,false,false,false,false,false,false
30,952,575,18,359,0,318,257,false,false,false,false,false,false,false,false
31,971,549,20,402,0,327,263,false,false,false,false,false,false,false,false
32,999,532,22,445,0,341,272,false,false,false,false,false,false,false,false
33,1015,518,23,474,0,350,281,false,false,false,false,false,false,false,false
34,1023,485,24,514,0,359,288,false,false,false,false,false,false,false,false
35,1028,461,26,541,0,366,294,false,false,false,false,false,false,false,false
36,1030,428,27,575,0,378,305,false,false,false,false,false,false,false,false
37,1033,400,27,606,0,385,312,false,false,false,false,false,false,false,false
38,1033,372,29,632,0,399,321,false,false,false,false,false,false,false,false
39,1033,359,29,645,0,407,327,false,false,false,false,false,false,false,false
40,1033,348,29,656,0,412,331,false,false,false,false,false,false,false,false
41,1033,340,29,664,0,414,333,false,false,false,false,false,false,false,false
42,1033,296,32,705,0,416,335,false,false,false,false,false,false,false,false
43,1034,272,32,730,0,416,335,false,false,false,false,false,false,false,false
44,1034,253,34,747,0,416,335,false,false,false,false,false,false,false,false
45,1034,228,35,771,0,416,335,false,false,false,false,false,false,false,false
46,1034,209,36,789,0,416,335,false,false,false,false,false,false,false,false
47,1034,175,38,821,0,416,335,false,false,false,false,false,false,false,false
48,1034,155,39,840,0,416,335,false,false,false,false,false,false,false,false
49,1045,146,39,860,0,417,336,false,false,false,false,false,false,false,false
50,1053,136,41,876,0,417,336,false,false,false,false,false,false,false,false
51,1062,115,42,905,0,417,336,false,false,false,false,false,false,false,false
52,1069,103,43,923,0,417,336,false,false,false,false,false,false,false,false
53,1076,82,45,949,0,417,336,false,false,false,false,false,false,false,false
54,1083,73,46,964,0,417,336,false,false,false,false,false,false,false,false
55,1083,65,48,970,0,420,339,false,false,false,false,false,false,false,false
56,1084,61,48,975,0,424,342,false,false,false,false,false,false,false,false
57,1084,59,48,977,0,428,343,false,false,false,false,false,false,false,false
58,1085,57,48,980,0,433,347,false,false,false,false,false,false,false,false
59,1087,59,48,980,0,436,350,false,false,false,false,false,false,false,false
60,1088,60,48,980,0,438,351,false,false,false,false,false,false,false,false
61,1089,61,48,980,0,438,351,false,false,false,false,false,false,false,false
62,1090,62,48,980,0,438,351,false,false,false,false,false,false,false,false
63,1090,62,48,980,0,438,351,false,false,false,false,false,false,false,false
64,1090,61,48,981,0,439,352,false,false,false,false,false,false,false,false
65,1090,61,48,981,0,440,353,false,false,false,false,false,false,false,false
66,1090,61,48,981,0,440,353,false,false,false,false,false,false,false,false
67,1090,61,48,981,0,440,353,false,false,false,false,false,false,false,false
68,1090,61,48,981,0,440,353,false,false,false,false,false,false,false,false
