day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,3,3,0,0,0,0,0,false,false,false,false,false,false,false,false
3,4,4,0,0,0,1,1,false,false,false,false,false,false,false,false
4,5,5,0,0,0,1,1,false,false,false,false,false,false,false,false
5,6,6,0,0,0,1,1,false,false,false,false,false,false,false,false
6,6,6,0,0,0,1,1,false,false,false,false,false,false,false,false
7,6,6,0,0,0,2,2,false,false,false,false,false,false,false,false
8,6,6,0,0,0,2,2,false,false,false,false,false,false,false,false
9,7,7,0,0,0,2,2,false,false,false,false,false,false,false,false
10,20,20,0,0,0,2,2,false,false,false,false,false,false,false,false
11,38,38,0,0,0,3,2,false,false,false,false,false,false,false,false
12,53,53,0,0,0,12,11,false,false,false,false,false,false,false,false
13,64,64,0,0,0,25,23,false,false,false,false,false,false,false,false
14,72,72,0,0,0,36,32,false,false,false,false,false,false,false,false
15,77,76,0,1,0,44,38,false,false,false,false,false,false,false,false
16,84,83,0,1,0,50,42,false,false,false,false,false,false,false,false
17,121,120,0,1,0,55,45,false,false,false,false,false,false,false,false
18,196,195,0,1,0,62,51,false,false,false,false,false,false,false,false
19,225,223,0,2,0,92,78,false,false,false,false,false,false,false,false
20,269,267,0,2,0,145,119,false,false,false,false,false,false,false,false
21,313,311,0,2,0,166,136,false,false,false,false,false,false,false,false
22,353,351,0,2,0,200,159,false,false,false,false,false,false,false,false
23,394,391,0,3,0,239,188,false,false,false,false,false,false,false,false
24,422,406,2,14,0,274,214,false,false,false,false,false,false,false,false
25,463,429,2,32,0,305,239,false,false,false,false,false,false,false,false
26,491,442,2,47,0,328,257,false,false,false,false,false,false,false,false
27,517,457,2,58,0,364,288,false,false,false,false,false,false,false,false
28,545,477,3,65,0,383,304,false,false,false,false,false,false,false,false
29,561,488,3,70,0,405,321,false,false,false,false,false,false,false,false
30,574,494,6,74,0,427,338,false,false,false,false,false,false,false,false
31,600,483,7,110,0,439,348,false,false,false,false,false,false,false,false
32,637,445,13,179,0,451,356,false,false,false,false,false,false,false,false
33,672,451,13,208,0,471,372,false,false,false,false,false,false,false,false
34,742,477,15,250,0,503,397,false,false,false,false,false,false,false,false
35,779,470,18,291,0,533,423,false,false,false,false,false,false,false,false
36,849,500,19,330,0,588,462,false,false,false,false,false,false,false,false
37,939,549,20,370,0,618,487,false,false,false,false,false,false,false,false
38,1028,610,24,394,0,668,531,false,false,false,false,false,false,false,false
39,1119,660,24,435,0,741,591,false,false,false,false,false,false,false,false
40,1205,718,26,461,0,813,646,false,false,false,false,false,false,false,false
41,1282,769,27,486,0,887,705,false,false,false,false,false,false,false,false
42,1342,801,28,513,0,958,758,false,false,false,false,false,false,false,false
43,1416,859,30,527,0,1019,809,false,false,false,false,false,false,false,false
44,1480,910,31,539,0,1066,848,false,false,false,false,false,false,false,false
45,1561,965,32,564,0,1122,891,false,false,false,false,false,false,false,false
46,1618,985,33,600,0,1174,930,false,false,false,false,false,false,false,false
47,1676,1008,34,634,0,1239,984,false,false,false,false,false,false,false,false
48,1747,1009,43,695,0,1286,1026,false,false,false,false,false,false,false,false
49,1846,1071,43,732,0,1334,1061,false,false,false,false,false,false,false,false
50,1919,1074,45,800,0,1388,1104,false,false,false,false,false,false,false,false
51,2009,1074,48,887,0,1462,1159,false,false,false,false,false,false,false,false
52,2098,1074,51,973,0,1513,1191,false,false,false,false,false,false,false,false
53,2194,1079,54,1061,0,1586,1247,false,false,false,false,false,false,false,false
54,2348,1147,56,1145,0,1652,1300,false,false,false,false,false,false,false,false
55,2475,1197,60,1218,0,1726,1359,false,false,false,false,false,false,false,false
56,2615,1277,63,1275,0,1848,1458,false,false,false,false,false,false,false,false
57,2758,1346,66,1346,0,1957,1544,false,false,false,false,false,false,false,false
58,2885,1409,69,1407,0,2070,1634,false,false,false,false,false,false,false,false
59,2984,1427,73,1484,0,2186,1727,false,false,false,false,false,false,false,false
60,3092,1478,79,1535,0,2292,1816,false,false,false,false,false,false,false,false
61,3174,1502,82,1590,0,2370,1877,false,false,false,false,false,false,false,false
62,3228,1485,84,1659,0,2452,1942,false,false,false,false,false,false,false,false
63,3348,1506,88,1754,0,2516,1990,false,false,false,false,false,false,false,false
64,3476,1561,89,1826,0,2564,2029,false,false,false,false,false,false,false,false
65,3584,1579,93,1912,0,2667,2112,false,false,false,false,false,false,false,false
66,3677,1583,100,1994,0,2771,2189,false,false,false,false,false,false,false,false
67,3775,1585,103,2087,0,2859,2259,false,false,false,false,false,false,false,false
68,3833,1489,112,2232,0,2933,2319,false,false,false,false,false,false,false,false
69,3883,1412,116,2355,0,3016,2384,false,false,false,false,false,false,false,false
70,3920,1309,127,2484,0,3063,2423,false,false,false,false,false,false,false,false
71,3964,1210,134,2620,0,3103,2458,false,false,false,false,false,false,false,false
72,4000,1119,142,2739,0,3132,2478,false,false,false,false,false,false,false,false
73,4051,1071,144,2836,0,3163,2501,false,false,false,false,false,false,false,false
74,4095,1007,145,2943,0,3196,2532,false,false,false,false,false,false,false,false
