day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,2,2,0,0,0,0,0,false,false,false,false,false,false,false,false
2,3,3,0,0,0,0,0,false,false,false,false,false,false,false,false
3,4,4,0,0,0,0,0,false,false,false,false,false,false,false,false
4,5,5,0,0,0,0,0,false,false,false,false,false,false,false,false
5,27,27,0,0,0,0,0,false,false,false,false,false,false,false,false
6,37,37,0,0,0,0,0,false,false,false,false,false,false,false,false
7,54,54,0,0,0,1,1,false,false,false,false,false,false,false,false
8,61,61,0,0,0,1,1,false,false,false,false,false,false,false,false
9,65,65,0,0,0,1,1,false,false,false,false,false,false,false,false
10,65,65,0,0,0,1,1,false,false,false,false,false,false,false,false
11,65,65,0,0,0,9,5,false,false,false,false,false,false,false,false
12,68,68,0,0,9,13,9,false,false,false,false,false,true,false,false
13,71,71,0,0,17,21,17,false,false,false,false,false,true,false,false
14,121,121,0,0,19,27,19,false,false,false,false,false,true,false,false
15,162,162,0,0,20,28,20,false,false,false,false,false,true,false,false
16,208,208,0,0,20,28,20,false,false,false,false,false,true,false,false
17,286,286,0,0,20,28,20,false,false,false,false,false,true,false,false
18,337,337,0,0,21,29,21,false,false,false,false,false,true,false,false
19,357,357,0,0,21,29,21,false,false,false,false,false,true,false,false
20,387,387,0,0,39,48,39,false,false,false,false,false,true,false,false
21,437,437,0,0,51,66,51,false,false,false,false,false,true,false,false
22,478,477,0,1,69,87,69,false,false,false,false,false,true,false,false
23,540,539,0,1,100,123,100,false,false,false,false,false,true,false,false
24,620,619,0,1,119,143,119,false,false,false,false,false,true,false,false
25,675,674,0,1,127,153,127,false,false,false,false,false,true,false,false
26,747,724,1,22,133,165,134,false,false,false,false,false,true,false,false
27,819,786,1,32,143,181,144,false,false,false,false,false,true,false,false
28,865,815,3,47,153,198,156,false,false,false,false,false,true,false,false
29,910,853,4,53,177,225,180,false,false,false,false,false,true,false,false
30,939,878,4,57,204,260,207,false,false,false,false,false,true,false,false
31,979,918,4,57,225,282,228,false,false,false,false,false,true,false,false
32,1027,966,4,57,245,303,248,false,false,false,false,false,true,false,false
33,1079,1015,4,60,271,345,282,false,false,false,false,false,true,false,false
34,1151,1084,4,63,282,366,299,false,false,false,false,false,true,false,false
35,1195,1078,8,109,296,391,319,false,false,false,false,false,true,false,false
36,1278,1120,9,149,302,401,327,false,false,false,false,false,true,false,false
37,1352,1148,10,194,317,419,343,false,false,false,false,false,true,false,false
38,1408,1126,12,270,328,438,356,false,false,false,false,false,true,false,false
39,1477,1144,14,319,335,453,366,false,false,false,false,false,true,false,false
40,1568,1215,16,337,360,482,393,false,false,false,false,false,true,false,false
41,1676,1293,19,364,355,498,404,false,false,false,false,false,true,false,false
42,1776,1343,21,412,369,528,430,false,false,false,false,false,true,false,false
43,1877,1403,27,447,376,562,458,false,false,false,false,false,true,false,false
44,1973,1437,29,507,366,585,478,false,false,false,false,false,true,false,false
45,2087,1471,29,587,372,614,501,false,false,false,false,false,true,false,false
46,2186,1515,31,640,397,650,534,false,false,false,false,false,true,false,false
47,2269,1526,36,707,422,698,569,false,false,false,false,false,true,false,false
48,2336,1521,39,776,450,744,609,false,false,false,false,false,true,false,false
49,2406,1545,40,821,479,791,647,false,false,false,false,false,true,false,false
50,2473,1567,44,862,484,828,679,false,false,false,false,false,true,false,false
51,2570,1635,45,890,496,873,719,false,false,false,false,false,true,false,false
52,2658,1683,47,928,498,905,741,false,false,false,false,false,true,false,false
53,2750,1727,47,976,512,948,770,false,false,false,false,false,true,false,false
54,2826,1751,48,1027,500,975,790,false,false,false,false,false,true,false,false
55,2894,1747,51,1096,506,1004,815,false,false,false,false,false,true,false,false
56,2967,1776,53,1138,506,1028,833,false,false,false,false,false,true,false,false
57,3031,1757,55,1219,529,1070,864,false,false,false,false,false,true,false,false
58,3078,1730,57,1291,538,1104,890,false,false,false,false,false,true,false,false
59,3140,1736,59,1345,552,1141,919,false,false,false,false,false,true,false,false
60,3185,1712,64,1409,563,1169,943,false,false,false,false,false,true,false,false
61,3246,1682,65,1499,558,1198,963,false,false,false,false,false,true,false,false
62,3295,1623,67,1605,569,1225,984,false,false,false,false,false,true,false,false
63,3346,1574,72,1700,561,1251,1005,false,false,false,false,false,true,false,false
64,3375,1502,79,1794,547,1271,1022,false,false,false,false,false,true,false,false
65,3415,1446,82,1887,535,1282,1029,false,false,false,false,false,true,false,false
66,3439,1356,83,2000,537,1307,1050,false,false,false,false,false,true,false,false
67,3502,1320,85,2097,529,1336,1076,false,false,false,false,false,true,false,false
68,3550,1285,91,2174,506,1354,1091,false,false,false,false,false,true,false,false
69,3586,1254,94,2238,489,1382,1112,false,false,false,false,false,true,false,false
70,3641,1239,98,2304,464,1395,1123,false,false,false,false,false,true,false,false
71,3688,1219,101,2368,442,1412,1134,false,false,false,false,false,true,false,false
72,3720,1154,106,2460,408,1421,1143,false,false,false,false,false,true,false,false
73,3765,1111,108,2546,406,1449,1163,false,false,false,false,false,true,false,false
74,3802,1056,114,2632,390,1472,1178,false,false,false,false,false,true,false,false
