day,total infections,active infections,total dead,total immune,total quarantined,total tests,total positive tests,maskEnforcement,lockdownOnTest,officeLockdown,publicLockdown,publicEvent,quarantine,contactTrace,socialDistancing
1,10,10,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,42,42,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,57,57,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,57,57,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,65,65,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,82,82,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,115,115,0,0,0,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,134,134,0,0,0,20,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,150,150,0,0,0,25,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,163,163,0,0,0,25,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,187,187,0,0,0,28,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,208,208,0,0,0,35,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,219,219,0,0,0,52,45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,236,236,0,0,0,62,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,257,257,0,0,0,69,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,273,273,0,0,0,76,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,290,290,0,0,0,82,71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
